PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00132 uM,Activity at 0.00295 uM,Activity at 0.00635 uM,Activity at 0.015 uM,Activity at 0.029 uM,Activity at 0.033 uM,Activity at 0.074 uM,Activity at 0.159 uM,Activity at 0.369 uM,Activity at 0.794 uM,Activity at 1.840 uM,Activity at 3.690 uM,Activity at 4.120 uM,Activity at 9.220 uM,Activity at 19.84 uM,Activity at 46.10 uM,Activity at 92.20 uM,Compound QC
565,26658824,3769030,CC1COC(O1)CN2C3=CC=CC=C3C4=CC=CC=C42,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001029723-01/135603856,,Inactive,,,,0,,,4.9549,0.9809,14,-1.3831,4,0 0 0 0 0 0 0,12.65,,-1.6031,,-2.4025,,,-0.3171,,-1.5451,,-0.3882,,,-1.3983,,12.65,,
566,26658923,1212768,CCN1C(=O)C2=C(N=C1SCC(=O)OC)SC3=C2CC(OC3)(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000779431-01/135605317,,Inactive,,,,0,,,1.8579,0.9345,9,-1.9044,4,0 0 0 0 0 0 0,6.2015,,-3.2536,,-1.8597,,,-1.8598,,-1.6812,,-0.4265,,,-0.6014,,6.2015,,
567,26658927,4420662,C=CCNC1=NN=NC2=C1SC3=C2C4=C(CCCC4)C(=N3)N5CCOCC5,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000779377-01/135603725,,Inactive,,,,0,,,1.1341,0.9941,18,-1.8832,4,0 0 0 0 0 0 0,13.518,,-2.8193,,-1.871,,,-1.9584,,-1.487,,0.0237,,,4.5535,,13.518,,
568,26659057,5718958,CC1=C(C2=CC=CC=C2N1)/C=C/C(=O)C3=CC=NC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001049159-01/135605983,,Inactive,,,,0,,,2.9523,0.8704,3.5,-2.089,4,0 0 0 0 0 0 0,3.2665,,-3.4075,,-2.0735,,,-1.9862,,-2.1326,,-0.6971,,,-1.3159,,3.2665,,
569,26659063,4535066,COC1=C(C=C(C=C1)C2C3=C(C=C(C=C3)O)OC4=C2C5=NC(=NN5C=N4)C6=CC=CC=N6)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000778994-01/135604381,,Inactive,,,,0,,,2.0937,0.9865,15.5,-2.4974,4,0 0 0 0 0 0 0,12.7097,,-3.3312,,-2.2475,,,-2.4996,,-2.3091,,-1.063,,,0.1242,,12.7097,,
570,26659139,6890111,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CN=CC=C2)CSC3=CC=CC=N3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001047201-01/135604175,,Inactive,,,,0,,,,,,,4,,0.398,,-3.343,,-2.2998,,,-1.5897,,-1.5274,,0.1102,,,-0.8168,,0.398,,
571,26659151,2840022,C1=CC=C(C=C1)CNC2=NC(=NC(=C2[N+](=O)[O-])N)NC3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001029890-01/135606061,,Inactive,,,,0,,,4.9549,0.9884,18,-1.6809,4,0 0 0 0 0 0 0,17.9641,,-3.0674,,-1.6026,,,-1.5627,,-1.9563,,-0.3381,,,-0.6242,,17.9641,,
572,26659194,1712666,CCN\1C2=CC=CC=C2S/C1=C\C(=S)NC3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001049320-01/135605568,,Inactive,,,,0,,,,,,,4,,1.1557,,-0.3965,,-0.4421,,,2.4037,,1.8581,,0.0592,,,0.1087,,1.1557,,
573,26659214,5743234,CN(C)C1=CC=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001049352-01/135604263,,Inactive,,,,0,,,4.5045,0.9531,5,-1.8976,4,0 0 0 0 0 0 0,4.9208,,-2.8314,,-1.7689,,,-1.581,,-2.1056,,-0.9414,,,-1.4138,,4.9208,,
574,26659306,677885,C1=CC=C(C=C1)CC2=NN=C(O2)C3=CC=C(C=C3)Br,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001029739-01/135605178,,Inactive,,,,0,,,,,,,4,,2.3626,,-0.8225,,-1.6873,,,0.97,,-0.6814,,0.0956,,,-0.2644,,2.3626,,
575,26659337,6882452,COC(=O)/C=C\1/C(=O)N(/C(=N/NC(=O)C2=CC=CC=C2)/S1)CC=C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001029861-01/135605543,,Inactive,,,,0,,,,,,,4,,-0.421,,-3.4849,,-1.0334,,,-1.6444,,-1.9753,,-0.8541,,,-1.5983,,-0.421,,
576,26659690,135519103,C1CN(CCN1C2=CC=CC=N2)/N=C/C3=CC=CC=C3O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000778049-01/135603611,,Inactive,,,,0,,,,,,,4,,-0.3516,,-2.6636,,-2.2769,,,-2.1069,,-1.9023,,-0.6428,,,-1.4067,,-0.3516,,
577,26660665,947049,C1=CC(=CN=C1)CSC2=C(C=CC(=N2)C3=CC=CS3)C#N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001047388-01/135605989,,Inactive,,,,0,,,3.6772,0.9938,27,-2.0328,4,0 0 0 0 0 0 0,25.9768,,-3.3607,,-2.1676,,,-1.7638,,-2.2075,,-0.5621,,,-0.1484,,25.9768,,
578,26660901,5865695,CCNC(=S)/N=C(/NC1=CC=CC=C1)\NC2=NC(=CC(=N2)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000768893-01/135605772,,Inactive,,,,0,,,3.6272,0.9524,8.5,-1.4941,4,0 0 0 0 0 0 0,8.062,,-1.6297,,-2.9117,,,-0.3181,,-1.1659,,-0.9632,,,-0.7007,,8.062,,
579,26660975,1932740,CC1=C(C=C(C=C1)C2=NNC(=O)C3=CC=CC=C32)S(=O)(=O)NC4=CC=C(C=C4)NC(=O)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000778086-01/135605893,,Activator,20.5962,36.7766,,10,Single point of activity,-4.6862,3.6772,0.9968,35,-1.7766,3,0 0 0 0 0 0 0,33.1637,,-3.1472,,-1.9885,,,-2.1057,,-1.9857,,-0.6398,,,-0.0309,,33.1637,,
580,26661131,828292,C1CCC2=C(C1)C3=C(S2)N=C4C(=C3N)CCC5=CC=CC=C54,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000768861-01/135603977,,Inactive,,,,0,,,4.095,0.9375,8,-0.9743,4,0 0 0 0 0 0 0,7.6928,,-2.0619,,-1.5114,,,-1.1187,,0.1247,,0.2529,,,-0.6063,,7.6928,,
581,26661232,135659393,COC1=CC(=CC(=C1O)OC)/C=N/NC(=O)C2=CC=C(C=C2)CN3C4=CC=CC5=C4C(=CC=C5)C3=O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001033788-01/135606042,,Inactive,,,,0,,,2.9523,0.9771,15,-0.9134,4,0 0 0 0 0 0 0,13.715,,-1.4001,,-2.4279,,,0.3558,,-1.2267,,-0.6572,,,0.4431,,13.715,,
582,26661391,6886854,CC1=CC=C(C=C1)C2=NNC(=S)N2/N=C/C3=CC(=C(C=C3)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000767712-01/135604110,,Inactive,,,,0,,-4.6862,1.5936,0.991,29.5,-1.0491,4,0 0 0 0 0 0 0,22.8345,,-1.1336,,-2.5409,,,0.3402,,-0.9069,,-0.1897,,,5.294,,22.8345,,
583,26661667,78537,CCOC(=O)C1=C(SC(=C1C)C(=O)OCC)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000779926-01/135605456,,Inactive,,,,0,,,1.2216,0.8804,8,-1.2588,4,0 0 0 0 0 0 0,5.1016,,-1.0104,,-2.7157,,,0.084,,-1.5129,,-0.2264,,,0.674,,5.1016,,
584,26661737,695469,CC(C)(C)C1=CC=C(C=C1)/C=C/2\C(=O)N=C(S2)N3CCCC3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001012146-01/135603915,,Inactive,,,,0,,,4.095,0.9328,7.5,-1.3063,4,0 0 0 0 0 0 0,7.2705,,-2.7552,,-1.8015,,,-1.8995,,-0.7198,,-0.0302,,,-0.8296,,7.2705,,
585,26661792,3729854,C1COC2=C(O1)C=CC(=C2)N3C(=NNC3=S)C4=NC5=CC=CC=C5C=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000333039-01/135605188,,Inactive,,,,0,,,,,,,4,,2.408,,0.1281,,-2.3648,,,0.1644,,-1.4569,,-0.6908,,,-0.2116,,2.408,,
586,26662110,3534004,CC(C)C1=NC(=C(C2=C1COC(C2)(C)C)C#N)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000779685-01/135605238,,Inactive,,,,0,,,1.6436,0.9895,24,-0.6902,4,0 0 0 0 0 0 0,17.9702,,-0.7963,,-2.2419,,,0.1468,,-0.7501,,-0.2936,,,3.9324,,17.9702,,
587,26662359,3822276,CC1=NC2=C(C(=NN2C(=C1)SCC=C)C)C3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000559934-01/135604607,,Inactive,,,,0,,,1.6436,0.9274,11,-1.8185,4,0 0 0 0 0 0 0,7.9988,,-3.1821,,-1.9801,,,-1.2722,,-1.2962,,0.1956,,,0.0285,,7.9988,,
588,26662372,3965726,CC1CCCCN1C(=S)SCC2=NC(=NC(=N2)NC3=CC=C(C=C3)OC)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000763042-01/135605948,,Inactive,,,,0,,,1.6436,0.9432,10,-2.2703,4,0 0 0 0 0 0 0,6.6989,,-2.2136,,-3.5586,,,-1.1476,,-2.2916,,-1.1535,,,-0.6277,,6.6989,,
589,26662399,4886653,CC1=NN(C(=O)C2=CC=CC=C12)CC(=O)NC3=CC4=C(C=C3)N5CCN(CC5=N4)CCOC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000763239-01/135604008,,Inactive,,,,0,,,,,,,4,,2.0717,,-1.1329,,-1.9608,,,0.4172,,-0.9323,,0.2887,,,-0.2847,,2.0717,,
590,26662441,6879175,CC1=CC2=C(C=C1C)N(C=N2)/N=C/C3=C(C(=CC=C3)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000332783-01/135605100,,Inactive,,,,0,,,4.095,0.9501,10.5,-0.9131,4,0 0 0 0 0 0 0,10.0133,,-1.4121,,-2.4276,,,0.5653,,-0.9216,,-0.1476,,,-0.4779,,10.0133,,
591,26662442,4029133,CC1=CC(=CC=C1)NC2=NC(=C(C(=N2)NCC3=CC=CC=C3)[N+](=O)[O-])N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000332785-01/135603758,,Inactive,,,,0,,,3.6272,0.9848,18,-1.2453,4,0 0 0 0 0 0 0,17.4642,,-1.8977,,-2.7044,,,0.1318,,-0.9114,,-1.1247,,,0.1894,,17.4642,,
592,26662492,11837013,CCN1C(=CC(=C1C)/C=C/2\C(=O)N(C(=O)S2)C(C)C(=O)OC)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000332776-01/135603940,,Inactive,,,,0,,,0.8,0.7609,4,-2.1514,4,0 0 0 0 0 0 0,1.7022,,-1.6538,,-3.4595,,,-0.7465,,-1.8418,,-1.5413,,,-0.3872,,1.7022,,
593,26662600,3622726,CN(C)C1=NC(=C(C(=N1)NCC2CCCO2)[N+](=O)[O-])N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000332828-01/135603632,,Inactive,,,,0,,,1.9887,0.9139,10,-0.742,4,0 0 0 0 0 0 0,6.9745,,-1.2367,,-2.7017,,,-0.1134,,-0.4722,,-0.0504,,,0.2725,,6.9745,,
594,26662610,3387885,CC1(CCS(=O)(=O)C1)NC(=S)NN(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000762671-01/135604672,,Inactive,,,,0,,,,,,,4,,0.2705,,-0.3511,,-1.4379,,,0.8186,,-0.1484,,-0.7812,,,-0.4811,,0.2705,,
595,26662752,9566754,COC1=C(C=C(C=C1)/C=N/NC2=CC=CC=N2)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001044392-01/135603807,,Inactive,,,,0,,,1.6436,0.9505,8,-1.2491,4,0 0 0 0 0 0 0,5.7075,,-2.291,,-1.5237,,,-1.535,,-1.5837,,-0.201,,,0.1304,,5.7075,,
596,26662769,3839729,CN(C1=CC=CC=C1)C2=NC(=C(C(=N2)NCC3=CC=CC=C3)[N+](=O)[O-])N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000332929-01/135605006,,Inactive,,,,0,,,1.9887,0.973,19.5,-0.8015,4,0 0 0 0 0 0 0,15.6122,,-1.3216,,-2.7512,,,0.5065,,-1.1286,,-0.0305,,,1.8444,,15.6122,,
597,26662969,1895093,CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=O)N2C4=CC=C(C=C4)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000780356-01/135605403,,Inactive,,,,0,,,2.3531,0.8631,8,-1.598,4,0 0 0 0 0 0 0,5.5578,,-3.415,,-2.4374,,,-1.7977,,-0.1545,,-0.5874,,,-1.0301,,5.5578,,
598,26663175,2043200,CC1=CC(=CC=C1)NC2=NC(=NC(=N2)N)C3=C(C4=CC=CC=C4O3)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000775952-01/135604497,,Activator,16.3601,33.5195,,10,Single point of activity,-4.7862,4.4495,0.9968,31.5,-2.0195,3,0 0 0 0 0 0 0,31.1633,,-2.933,,-1.7342,,,-2.2454,,-1.8221,,-0.6339,,,0.2577,,31.1633,,
599,26663410,929418,C1CCC(CC1)NC(=O)/C(=C/C2=CC=C(O2)N3CCOCC3)/C#N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000779605-01/135605167,,Inactive,,,,0,,,1.6436,0.9358,5.5,-2.0131,4,0 0 0 0 0 0 0,4.415,,-2.9276,,-2.2717,,,-1.878,,-1.7091,,-0.6644,,,-0.165,,4.415,,
600,26663635,5154671,COC1=C(C=C2C(=C1)CCN3C2=CC(=NC3=O)N4CCC5=CC=CC=C54)OC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000333205-01/135604084,,Activator,14.581,49.4609,,21,Partial curve; partial efficacy,-4.8362,1.7885,0.9975,48.8387,-0.6222,2.2,0 0 0 0 0 0 0,43.3692,,-0.5894,,-2.363,,,0.4122,,-0.4692,,0.6197,,,14.7597,,43.3692,,
601,26663719,9660935,C1=CC(=C(C=C1C/C(=N/OC(=O)C2=CC=C(O2)Br)/N)Cl)Cl,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000332584-01/135603891,,Activator,5.8048,63.8601,,22,Partial curve; partial efficacy,-5.2362,2.4064,0.9992,60.7946,-3.0655,2.2,0 0 0 0 0 0 0,60.8829,,-3.444,,-2.3846,,,-2.2222,,-2.1102,,-0.068,,,44.1744,,60.8829,,
602,26663734,4586131,CC1(CC2=C(CO1)C(=NC3=C2C4=C(S3)C(=NC=N4)NCCN(C)C)N5CCCC5)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000332213-01/135605469,,Inactive,,,,0,,,2.9523,0.9883,20.5,-1.9884,4,0 0 0 0 0 0 0,18.4769,,-2.907,,-2.3532,,,-1.8281,,-1.6482,,-0.2529,,,-0.2482,,18.4769,,
603,26663867,2868102,CCCCC1=CC2=C(C=C1NC(=O)CN3CCCCC3)OCCO2.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000767149-01/135605642,,Inactive,,,,0,,,,,,,4,,1.458,,-1.4431,,-3.0609,,,-0.3441,,-1.762,,-0.6236,,,-0.7716,,1.458,,
604,26663936,1856509,CC1=NC2=C(C(=NN2C(=C1)SCC(=C)C)C)C3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000763061-01/135605784,,Inactive,,,,0,,,2.5884,0.965,9,-1.7514,4,0 0 0 0 0 0 0,7.8846,,-1.8631,,-3.1262,,,-0.8964,,-2.3252,,-1.6792,,,-0.5912,,7.8846,,
605,26663939,4860019,CC1=CC(=O)OC2=C1C=CC(=C2)OCC3CC(=NO3)C4=C(C=C(C=C4)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000762855-01/135605143,,Inactive,,,,0,,-4.6362,4.095,0.9933,31.5,-1.9532,4,0 0 0 0 0 0 0,29.4635,,-3.2943,,-2.0126,,,-1.9501,,-1.3575,,-0.0993,,,-1.1686,,29.4635,,
606,26663953,3978264,C1=CC=C(C(=C1)NC2=NC(=C(C(=N2)NCCO)[N+](=O)[O-])N)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000333254-01/135604438,,Inactive,,,,0,,,1.3723,0.93,6.5,-1.1271,4,0 0 0 0 0 0 0,5.5057,,-1.4948,,-2.1892,,,0.1853,,-1.3092,,-0.5633,,,1.9468,,5.5057,,
607,26663954,943657,CCN1C2=C(C=C3C=C(C=CC3=N2)C)C(=N1)NC(=O)C4=CC=CO4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000333188-01/135605086,,Inactive,,,,0,,,,,,,4,,0.8933,,-1.6268,,-2.4087,,,-0.5564,,-1.8003,,-0.9776,,,-1.4211,,0.8933,,
608,26663998,1951273,CN(C)C1=CC=C(C=C1)NC2=NC(=O)N3CCC4=CC(=C(C=C4C3=C2)OC)OC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000559836-01/135605091,,Activator,14.581,66.5903,,21,Partial curve; partial efficacy,-4.8362,1.111,0.9974,65.0746,-1.5157,2.2,0 0 0 0 0 0 0,52.0339,,-3.1312,,-1.4272,,,-1.8386,,0.0831,,5.1711,,,22.6266,,52.0339,,
609,26664000,3796766,CCC(=NCCC1=CNC2=CC=CC=C21)C3=C(N(C(=O)NC3=O)CC=C)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000559833-01/135604631,,Inactive,,,,0,,,2.0937,0.953,13,-1.8991,4,0 0 0 0 0 0 0,10.2532,,-3.2493,,-2.0308,,,-1.9285,,-2.1276,,0.2119,,,0.029,,10.2532,,
610,26664185,3588820,CC1CN(CC(O1)C)C2=NC(=NC(=C2[N+](=O)[O-])N)NC3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000333233-01/135604685,,Inactive,,,,0,,,1.4487,0.897,7,-2.3704,4,0 0 0 0 0 0 0,4.3706,,-3.642,,-1.9666,,,-1.6536,,-2.0786,,-0.8993,,,-0.8252,,4.3706,,
611,26664360,226756,CCOC(=O)C1=C(N(C(=C1C)C(=O)OCC)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000737829-01/135604131,,Inactive,,,,0,,,1.6436,0.9298,8.5,-1.5601,4,0 0 0 0 0 0 0,5.8526,,-2.9668,,-1.9698,,,-1.9512,,-1.2838,,-0.3203,,,-0.2131,,5.8526,,QC'd by NCI Chemotherapeutic Agents Repository
612,26664368,227464,CN1C2=NC(=NC(=C2C=N1)NC3=CC=CC=C3Cl)NC4=CC=CC=C4Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000737846-01/135605236,,Inactive,,,,0,,,4.5045,0.9943,27,-0.8097,4,0 0 0 0 0 0 0,25.8372,,-1.1458,,-2.3414,,,0.0406,,-0.3089,,-0.5959,,,-0.3125,,25.8372,,QC'd by NCI Chemotherapeutic Agents Repository
613,26665302,5876634,CCNC1=NN2C=CC=CC2=C1/C=C(\C#N)/C(=O)OCC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000757010-01/135605785,,Inactive,,,,0,,,0.6,0.9505,6,-2.6051,4,0 0 0 0 0 0 0,3.6757,,-3.0043,,-1.9992,,,-1.9399,,-2.0747,,-0.2101,,,0.4461,,3.6757,,QC'd by NCI Chemotherapeutic Agents Repository
614,26665346,3773561,C1COCCN1CCCNC2=NC(=C(C(=N2)NC3=CC(=CC=C3)Cl)[N+](=O)[O-])N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000769815-01/135605303,,Inactive,,,,0,,,1.4487,0.926,6,-2.0471,4,0 0 0 0 0 0 0,4.4113,,-2.9559,,-1.9866,,,-1.7666,,-2.0616,,-0.4176,,,-0.027,,4.4113,,
615,26665603,4859242,CC1=CC(=C2C(=C1)C(=O)C=C(O2)C(=O)N(CC3=CC=C(C=C3)OC)C4CCS(=O)(=O)C4)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000776030-01/135605142,,Inactive,,,,0,,,1.9887,0.8582,4.5,-0.9226,4,0 0 0 0 0 0 0,3.7537,,-0.5085,,-2.4355,,,-0.1256,,-1.4273,,-0.7682,,,0.2159,,3.7537,,
616,26665902,3733249,CCC(=NC(C)C1=CC=CC=C1)C2=C(NC(=O)NC2=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000762600-01/135605880,,Inactive,,,,0,,,1.5386,0.9727,19,-1.5974,4,0 0 0 0 0 0 0,14.9746,,-1.5317,,-2.9979,,,0.0758,,-1.9008,,0.0769,,,3.2433,,14.9746,,
617,26666202,778757,CC(C)(C)NC1=NC(=NC(=N1)NCC2=CC=CC=C2)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000767680-01/135605698,,Inactive,,,,0,,,,,,,4,,-0.3489,,-1.5448,,-2.7155,,,0.4798,,-1.2767,,-0.7562,,,-1.4044,,-0.3489,,
618,26666633,3800306,CC(=O)N1C(CC(=N1)C2=C(C3=CC=CC=C3C=C2)OC(=O)C)C4=CC=C(C=C4)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000769420-01/135606168,,Inactive,,,,0,,,2.9523,0.9591,8.5,-1.8213,4,0 0 0 0 0 0 0,7.6401,,-2.2751,,-3.1844,,,-0.7258,,-2.0954,,-1.7028,,,-0.9679,,7.6401,,
619,26666723,6886551,COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)N/N=C/C3=CC=CC=N3)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000768115-01/135605575,,Inactive,,,,0,,,4.095,0.947,2.5,-2.3823,4,0 0 0 0 0 0 0,2.4029,,-3.2353,,-1.9681,,,-1.7518,,-1.8544,,-0.2643,,,2.4129,,2.4029,,
620,26667080,5414974,COC1=CC=C(C=C1)N/C=C/C(=O)C2=CC(=C(C=C2)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001043229-01/135603993,,Inactive,,,,0,,,2.3531,0.7983,2.5,-2.0457,4,0 0 0 0 0 0 0,2.3027,,-3.3714,,-2.3138,,,-1.5955,,-1.8868,,-0.6101,,,-1.1503,,2.3027,,
621,26667254,135576406,COC1=C(C=CC(=C1)/C=N/NC2=NC3=CC=CC=C3S2)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001043276-01/135605068,,Inactive,,,,0,,,4.4495,0.9797,14.5,-0.9955,4,0 0 0 0 0 0 0,14.2811,,-1.2423,,-2.4963,,,0.3095,,-1.3465,,-0.8425,,,-0.3524,,14.2811,,
622,26667281,3786263,CCC(C)NC1=NC(=C(C(=N1)NC2=CC=CC=C2OC)[N+](=O)[O-])N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000770085-01/135605450,,Inactive,,,,0,,-4.6362,2.0437,0.9923,31.5,-1.1728,4,0 0 0 0 0 0 0,25.2198,,-1.0782,,-2.644,,,-0.171,,-0.8265,,0.0295,,,3.4079,,25.2198,,
623,26667431,652540,CN1C2=C(C(=O)NC1=O)N(C(=N2)SC3=NC=CC=N3)CCCC4=CC=CC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000889346-01/135604597,,Inactive,,,,0,,,,,,,4,,2.0112,,-2.9707,,-2.1034,,,-2.1067,,-1.3674,,-0.9449,,,-1.1197,,2.0112,,QC'd by Asinex Ltd.
624,26667732,652711,CC1=C(SC(=C1C(=O)OC)NC(=O)CC2=CC=CS2)C(=O)N3CCCCC3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000880164-01/135605582,,Inactive,,,,0,,,2.3031,0.8842,7.5,-1.1275,4,0 0 0 0 0 0 0,5.701,,-1.5504,,-3.0229,,,-0.189,,-1.3367,,-0.2476,,,-0.4346,,5.701,,QC'd by Asinex Ltd.
625,26667792,650282,CC(C)CN1C(=O)C2=CC=CC=C2N=C1SCC3=NN=C(O3)C4=CC(=C(C=C4)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000882419-01/135605278,,Inactive,,,,0,,,4.095,0.9927,27,-1.5629,4,0 0 0 0 0 0 0,25.343,,-1.8695,,-2.9691,,,-0.1581,,-1.6343,,-0.8922,,,-0.9273,,25.343,,QC'd by Asinex Ltd.
